season,temp,temp feel,humidity,windspeed,rentals
1,57.4,64.7,80.6,10.7,99
1,58.8,63.8,69.6,16.7,80
1,46.5,49,43.7,16.6,135
1,46.8,51.1,59,10.7,156
1,48.7,52.6,43.7,12.5,160
1,47.1,53,51.8,6,161
1,46.5,50.8,49.9,11.3,151
1,44.2,46.6,53.6,17.9,96
1,42.2,42.5,43.4,24.3,82
1,43.1,45.6,48.3,15,132
1,44.5,49.2,68.6,8.2,126
1,44.7,46.4,60,20.4,116
1,44.2,45.6,47,20.2,141
1,43.9,49,53.8,8.5,142
1,49.2,54.3,49.9,10.6,125
1,49.1,53.1,48.4,12.6,120
1,45,47.9,53.8,13,100
1,48,52.9,86.2,9.8,68
1,53.6,58.9,74.2,14,165
1,51.3,55,53.8,13.1,193
1,45.1,46.2,45.7,23.7,154
1,36.4,39.1,40,11.5,98
1,39.1,40.9,43.7,16.5,99
1,39.2,42.6,49.2,10.6,142
1,48.5,53.1,61.7,8.7,199
1,48.1,50.3,86.3,19.7,51
1,46.4,51.8,68.8,7.6,43
1,47,52.1,79.3,8.3,117
1,46.5,51.1,65.2,9.7,110
1,48,54.5,72.2,5,110
1,45.3,48.8,60.4,12.5,150
1,46.2,53.1,83,3.6,136
1,51.2,54.9,77.5,17.7,153
1,45.8,48,43.8,18.6,155
1,47.6,52.6,58.5,8.6,171
1,49.2,53.9,92.9,10.8,101
1,53.1,58.3,56.8,9.5,162
1,52,59.3,73.8,3,171
1,48.3,49.8,53.8,24.3,153
1,41.9,45,49.5,12.7,161
1,42.7,45.5,43.7,14.9,154
1,46,51.2,50.6,7.3,175
1,48.4,53,54.4,13.6,147
1,55.4,61.2,45.7,17.5,159
1,62.6,67.9,37.6,28,191
1,51.6,54.9,31.4,19.5,182
1,55.5,60.5,42.3,16.9,212
1,64.2,70.6,50.5,15.4,248
1,70.5,78.1,51.7,17.7,293
1,61.5,67.2,18.8,34,164
1,53,57,40.8,15,181
1,54.4,57.6,60.5,20.6,111
1,45.4,48.7,57.8,13.1,145
1,48.4,54.1,42.3,6.3,192
1,53.8,58,69.7,16.8,181
1,58.9,63.5,71.2,23.2,146
1,52.8,57.4,53.8,12.5,197
1,57.3,63.6,68,8.4,240
1,62.1,68,87.6,19.4,145
1,51.7,55.7,53.5,14.5,185
1,56.7,60.8,45,20.6,213
1,46.6,50,31.8,15.1,169
1,51.3,55,61,13.6,194
1,60.4,66.1,78.9,16.9,208
1,59.8,65,94.8,23,61
1,51.3,53.5,55.1,22.9,187
1,53.6,59.2,42.1,8.1,213
1,53.8,57.8,77.5,14.8,189
1,60.7,66.7,0,17.5,62
1,55.4,59.5,65,15.6,198
1,56.3,61.3,59.5,14.8,213
1,60.4,66.2,52.7,18.1,242
1,56,61.9,49.7,9.2,205
1,55.4,60.6,65.6,12.3,206
1,59,65,77.7,13.6,219
1,62.6,68.9,60.3,14,274
1,71.9,79.4,52.5,15.5,324
1,66.9,74,37.9,24.7,312
1,56.5,61.3,47.4,13.9,247
1,85.2,91.4,58.8,13.9,666
1,80.2,85.8,83.3,14.4,497
1,80.4,87,58.2,23,742
1,79.8,88.2,57,17,736
1,79.2,86,59,11.8,767
1,78.6,85.5,50.4,11.2,770
1,75.7,83.5,59.9,9.7,698
1,73.9,81,77.8,11.7,510
1,82.8,90.9,69,9.9,683
1,89.7,96.9,59.2,7.6,621
1,82.2,89.4,77,11.5,484
1,86.1,94.4,70.8,11.5,451
1,85.8,94.4,70.3,16,479
1,85.4,91.1,57.3,14.9,499
1,83.3,89.9,48.3,14,520
1,82.2,89.4,51.3,6.3,531
1,82.4,89.3,65.8,7.2,471
1,86.9,94.3,63.4,9.7,465
1,85.8,90.9,49.8,17.5,523
1,83.4,89.3,43.4,12.4,552
1,85.3,90.7,39.6,6.9,536
1,86.5,92.1,44.5,7.7,512
1,84.9,92.2,68.3,15.3,465
1,85.6,91.9,63.8,5.5,604
1,87.1,94.7,59,8.5,467
1,85.1,93.7,74.3,10,463
1,87.4,93.8,65.1,10.7,459
1,84.3,92.3,75.8,15.1,404
1,86.1,91.8,60.9,11.3,534
1,87.2,94.1,57.8,12.3,488
1,88.3,97.7,63.6,18.9,409
1,90.6,98.5,55.9,13.4,426
1,87.1,94,63.2,9.8,434
1,82.2,89.2,47.6,16.1,508
1,81,88.2,59.1,12.2,554
1,82.7,89.4,58.5,14,592
1,85.1,92.3,60.4,16.4,530
1,87.1,95.4,65.1,14.5,446
1,89.3,99.3,65,8.8,454
1,88.7,99.2,70.7,7.6,433
1,92.1,106.4,69.1,14.9,378
1,94.6,107.7,58,8.9,339
1,94.7,104.4,50,8.8,329
1,93.3,103.5,55.1,11.3,361
1,86.9,96.9,75.7,6.1,384
1,88.9,94.7,54.1,13.4,459
1,89.2,94.2,40.3,12.3,466
1,89.5,98.6,58.3,12,439
1,93.9,102.7,54.3,11.7,385
1,91.3,97.6,46.6,11.3,448
1,91.5,97.7,48.1,11,430
1,88.9,95.3,55.1,10.5,427
1,89.8,95.6,49.1,13.8,485
1,86,93.2,65.8,9.1,357
1,84.4,91.8,75.8,13.2,458
1,84.5,91.1,63.1,12.4,487
1,84.9,92.9,75.5,15.3,429
1,86.8,96.4,75.3,13.5,379
1,88.5,95.3,59.2,12.9,433
1,89.2,97.2,57,10.1,460
1,88.6,93.6,42.4,13.4,478
1,85,90.6,42.4,11,479
1,84.3,90.9,41.5,8.4,491
1,82.6,90.1,73,14.2,415
1,81.9,88.2,81.8,14.9,382
1,81.1,87.5,71.2,14,434
1,83.7,90.1,57.8,15.8,473
1,85.4,92,57.5,9.6,469
1,84.5,91.6,65.5,15.6,381
1,82.6,89,72.3,9.3,415
1,83.5,90.4,67.4,7,519
1,84.5,92.8,77,16.7,387
1,83,89.4,47,18.5,476
1,79.3,86.5,45.5,9.8,590
1,81.7,88.8,60.5,17,513
1,82.5,90.1,77.2,14.1,354
1,83.7,91.4,76.1,5.6,466
1,82.2,89.2,85,25.2,112
1,84.2,90.3,56.2,20.4,433
1,79,86.7,55.5,10.7,463
1,79.2,85.5,54.8,8.4,520
1,80.5,87,59.8,5.6,506
1,80.3,87.3,63.9,9.5,512
1,79.5,86.4,72.7,9.4,473
1,81.4,89,71.7,12.4,448
1,84.3,91.9,74.2,13.8,494
1,81.7,88.3,79,14.3,335
1,71.9,78.4,88.7,23,271
1,76.2,81,91.7,6.5,200
1,78.8,82,94,12.9,184
1,64.2,71.2,92.5,12.8,517
1,58.1,62.5,59.7,19.8,550
1,54,58.8,53.8,10.9,532
1,53.8,58.5,48.6,11.7,553
1,52.8,58.5,64.3,8.8,561
1,55.9,62.5,65,7.1,505
1,58.8,65.3,83.9,6.7,379
1,61,68.1,90.7,6.6,459
1,62.3,68.9,66.6,14.8,556
1,56.5,62.8,62.5,12.3,527
1,56.4,62.2,66.8,8.9,413
2,63.6,70.5,85.8,14.8,266
2,63.2,70.4,75.8,3.2,307
2,59.6,66,68.6,18.4,221
2,54.3,58.9,54.3,12.8,101
2,52.3,57.2,68.1,10.4,75
2,55.7,60.4,50.7,16,132
2,56,61.5,76.3,12.6,116
2,54.1,57.2,50.4,19.7,230
2,50.3,55.8,57.4,8,242
2,55,60.7,63.7,9,300
2,62.3,69.3,61.6,14.8,249
2,59.3,65.8,69.3,12.9,229
2,52.2,54.7,38.1,22.1,195
2,43.1,43.4,44.1,24.5,224
2,39.9,42.7,41.5,12.4,237
2,51.6,57.1,52.4,8.7,327
2,56.7,62.6,54.2,11.2,410
2,61,67.2,53.2,11.7,452
2,56.9,62.6,46.5,12.8,343
2,48.5,54.3,70.2,6.6,238
2,54.8,60.7,64.7,12.6,360
2,52.2,57.5,84.8,8.8,218
2,60.2,66.4,80.3,12.1,410
2,52.2,54.4,50.8,25.3,321
2,45.3,48.5,45.8,12.5,249
2,44.3,46.5,41.9,16.8,231
2,46,49.2,52.3,15.5,230
2,59.5,64.8,71.6,23.4,294
2,54.4,56.8,44.3,27.8,338
2,46,49.1,49.8,14.8,329
2,48.1,51.9,45,13.6,316
2,44.8,47.7,83.1,14.9,130
2,44,46.6,79.6,13.4,198
2,48.1,53.9,91.1,7.4,243
2,57.3,63.4,83.6,8.3,434
2,53.7,58.5,64.4,10.8,427
2,57.2,64,77,4.9,408
2,63.4,69.4,74.1,23,346
2,55.3,61.4,54.3,14.1,402
2,52.8,56.5,31.1,16.1,324
2,51.9,55.6,40.1,14.5,362
2,60.8,66.3,41.7,17.5,451
2,66.6,74,50.8,12.7,458
2,61.5,67.9,67.3,12.5,376
2,55.1,59.8,52.7,12,415
2,51.5,56.5,78,8.2,283
2,51.6,55.8,68.8,11.8,295
2,52.9,58.7,62.2,10.3,378
2,58.1,64.5,49.6,9.9,438
2,50.9,56,72.3,9,280
2,51.6,55.6,56.2,13,383
2,52.7,58.4,54,7.8,383
2,48.5,51,73.1,19.4,217
2,41.4,41.1,46.5,27.4,153
2,48.4,52.5,41.1,11.2,342
2,55.6,62.1,50.9,9.5,392
2,57.7,63.6,53.1,12.2,417
2,55.4,61.7,75.3,6.1,301
2,57.3,63.6,63.5,13.8,415
2,57.6,64,53.5,12.8,432
2,52.7,55.9,51.6,17,269
2,52.7,56.6,50.8,15.3,313
2,53.2,58.6,59.4,13.8,378
2,61.2,67.3,56.8,15.7,477
2,65.5,72,55.5,12.8,506
2,62.1,69,73.8,15.9,349
2,53.5,55,39.6,28.3,273
2,52.6,56.1,41,13.8,339
2,59.1,64.2,49.1,18,432
2,58.5,63.8,39.6,13,436
2,67.9,74.8,61.5,15.2,499
2,58.1,64.4,65.7,9.7,319
2,62.6,69.2,62.1,10.8,407
2,56,59.3,40.3,22.4,342
2,50,53.7,50.6,15.3,333
2,51.1,55,45.7,13.5,396
2,61.8,66.7,51.3,23.2,492
2,70.9,79.2,56.8,29.6,538
2,62.3,67.7,40.7,27.8,457
2,53.2,57,35,15.1,412
2,58.7,64.4,47.7,14.9,491
2,66.4,73.4,48.9,13.9,530
2,73.7,80.9,61.8,15.9,585
2,74.3,81.4,50.7,7.7,631
2,73.1,80,58,10,619
2,64.2,71.3,84.2,7.6,438
2,69.9,77.5,75.6,7.4,784
2,66.9,73.8,81,8.5,589
2,72.2,80,72.9,10.9,615
2,73.4,80.5,80.8,8.1,609
2,56.1,59.2,55.7,25.1,362
2,51.6,53.3,44.1,27.3,175
2,80,84.1,89.8,8.3,354
2,80.7,86.7,75.4,10.3,535
2,80.2,86.8,71.4,7.7,505
2,79.6,86.2,69.2,6,471
2,80,86.3,71.3,9.5,476
2,81.7,88.4,69.7,11.2,479
2,74.6,81.8,70.9,18.2,366
2,66.6,73.5,59,11,476
2,68.3,75.1,71.8,12.7,451
2,69.5,76.1,69.5,12,427
2,72.5,79.7,69,10.2,454
2,73.5,79.9,88.1,9,364
2,75.9,81.5,90,6.5,435
2,78.4,81.9,90.2,8.6,480
2,91.5,99.7,56.8,8,591
2,89.4,97.2,57.4,12.3,582
2,86,90.8,53.5,12,746
2,86.9,92.7,47.9,9.8,689
2,84.8,90.9,50.4,20.1,678
2,78.6,85.5,37.3,23.3,744
2,83.5,89.7,36,18.2,734
2,87.3,92.8,42.3,11.5,688
2,93.6,102.8,48.9,11.1,546
2,88.5,93.9,60.1,10.8,569
2,92.2,99.6,51.9,11.3,553
2,89.7,95.2,44.7,13.1,623
2,89.6,95.2,49.2,8.5,666
2,90.2,97.9,53.9,9,740
2,93.1,100.5,45.8,13,624
2,93.1,99.7,45.1,9.8,621
2,95.6,104.4,49.2,11,484
2,92.7,103.1,57.4,8.4,467
2,84.5,90.9,68.3,12.1,657
2,85.2,91.8,66.8,10.2,629
2,84.9,90.5,63.3,10.2,726
2,84.8,90.9,53,9.8,745
2,86,92.1,48.6,5.4,750
2,83.9,91.9,69.9,9.6,697
2,87,95.5,71.8,11.2,603
2,88.3,97.2,64.5,11,683
2,92.4,100,50.6,7.7,679
2,90.5,99.1,57.7,9.2,571
2,88.8,96.3,60,11.1,659
2,81.1,87.2,84.4,14,587
2,76,81.5,86.5,14.3,446
2,81.3,88.1,76.3,6.3,741
2,86.7,94.1,69.4,9.3,697
2,87.4,95.6,65.5,14.2,759
2,85.4,90.9,45,11,817
2,89.3,98.5,59.7,19.1,686
2,89.7,98.1,59.5,10.3,690
2,87.8,94.8,61.3,10.5,669
2,85.3,92.1,62.4,11.4,660
2,85.9,93.6,66.9,10.3,711
2,84.6,91.7,70.4,11.1,722
2,85,92.1,67.8,9.5,758
2,87.5,95.6,66,8.7,726
2,88.5,97.1,64.3,14.5,718
2,90.5,99.6,61.3,17.2,682
2,88.8,97.8,65.3,19.5,546
2,87.5,95.9,65.4,8.7,701
2,86.3,94.8,70.4,7.8,727
2,87.4,95.7,67.3,7.4,753
2,87.8,95,62,10.5,729
2,84.8,92.1,71.6,16,579
2,83.1,89.4,73.3,13.8,630
2,83.7,90,53,8.2,654
2,85.2,91.6,54.5,9.1,688
2,85.6,92.9,68.7,11.3,678
2,84.2,90.9,62,11.4,735
2,85.1,90.9,51.9,9.5,761
2,85.4,53.8,57.1,15.5,715
2,82.1,87.6,60.3,11.9,787
2,78.9,86.3,71.2,5.8,455
2,78.9,85.6,73.4,8.7,653
2,79.9,86.1,67.4,4.9,701
2,81.3,88,67.7,4.7,738
2,83.4,89.3,63.6,5.7,777
2,83.8,90.2,61.5,4.8,758
2,80.8,87.7,71.3,16.4,605
2,80.2,85.6,84.6,15.3,526
2,83.9,90.9,73,8.6,692
2,85.8,91.9,62,12.8,704
2,82.6,89.2,55.2,7.5,770
2,84.2,90.8,59,5.2,771
2,88.4,94,58.8,11.3,735
2,87.6,95.2,63.8,7.6,614
2,83.4,90.4,81.5,4.3,581
2,84.2,91.5,79.1,10.1,603
2,85.6,93.8,75.5,15.8,686
2,86.4,95.8,74.1,12.6,711
2,83.4,91,81,9.5,620
3,50.1,55.4,51.5,8.9,179
3,49.1,55.3,79.1,5.2,92
3,53.5,58.5,73.5,11.3,101
3,50,51.8,82.3,21.2,44
3,50.8,52.4,65.3,23.5,211
3,50.7,55,59,10.4,310
3,50.7,53.8,75.3,8.3,134
3,50.9,52.9,48.3,23.5,180
3,47.9,52.1,57.8,10.4,273
3,63.8,68.9,73.7,19.3,208
3,64.6,71.7,62.5,15.1,270
3,57.6,62.4,84,15.7,212
3,53,56.4,80.6,16.3,187
3,51.5,55.1,49.5,15.5,221
3,51.6,55.2,39.4,14,250
3,50.7,54.5,49.4,12.3,169
3,51.5,55.2,30.2,14.2,203
3,54.3,58.4,31.4,15.2,243
3,54.1,58.8,64.7,11.6,154
3,51.8,55.2,91.8,14.6,169
3,54.1,57.5,68.6,17.3,223
3,55.2,60.4,65.4,13.2,225
3,59.9,66.1,48,12.2,325
3,74.3,80.9,42.6,25.8,312
3,62.6,67.9,64.2,26,180
3,60.8,66.9,47.1,17.6,281
3,64.3,71,60.3,10.9,314
3,56.8,61.2,83.6,15.2,147
3,57.3,62.7,87.8,8.9,246
3,63.5,70.4,85.8,9.8,290
3,76,82.9,71.7,21.7,335
3,69.1,76.4,73.9,18.4,203
3,62.4,69.6,81.9,16.8,216
3,66.5,73.6,54,7.4,327
3,65,71.8,67.1,15.2,313
3,63.8,70.3,88.8,22.8,80
3,65.7,72.1,48,20.3,374
3,69.8,77.3,54.3,11,343
3,69.3,76,66.6,10.6,320
3,75.9,82.8,61.4,16.2,394
3,65.9,72.9,40.7,21.8,419
3,56.8,61,73,14.7,168
3,65.9,72.5,88.8,15.5,404
3,74.9,81.7,81.1,12.9,419
3,76.8,83.7,77.7,12.4,407
3,78.6,85.5,72.9,21.9,440
3,77.8,83.8,83.5,20.9,387
3,77.6,84.1,70.1,21.5,406
3,69.6,76.8,45.7,16.1,460
3,66.9,73.8,50.3,15.8,531
3,65.3,72.3,76.2,7.1,335
3,72.5,80,73,12.3,440
3,77.5,84.4,69.7,23,445
3,62.6,68.4,73.7,22,263
3,65.9,71.8,44.4,19.8,443
3,67.4,74.7,59,15.3,461
3,70.4,78.1,54.1,10.8,471
3,71,78.7,63.2,5,433
3,71.3,79.3,58.9,11.8,436
3,71.3,79,48.9,7.7,480
3,72,79.6,63.3,8.1,418
3,71.5,79.1,74.8,12.7,486
3,69.8,76.5,86.3,12,411
3,70.4,77.1,92.3,9,341
3,73.5,80.2,86.7,10.2,455
3,74.6,81.5,78.8,8.5,396
3,73.5,80.5,83.8,18.6,412
3,72.6,79.4,87,13.5,386
3,71.2,78,83,7.3,458
3,71.6,79.6,72,8.4,492
3,76.5,83.5,62.7,8.1,581
3,76.6,83.7,75,9.9,466
3,78.6,85.1,81,15.7,427
3,80.7,86.4,74.1,13.9,449
3,80.8,87.4,69.6,10.3,498
3,84.3,90.9,67.8,13.4,468
3,82.3,89.3,65.4,16.1,468
3,80.4,87.1,73,15.4,476
3,81.3,87.4,81.9,14.3,479
3,86.1,92.4,68.5,8.8,410
3,89.2,97.3,63.7,7.5,398
3,88.4,96.9,67.7,13.9,397
3,84.8,90,30.5,19.6,497
3,77.8,84.8,35.4,17,531
3,78.9,85.5,45.6,8.3,534
3,79.8,87.5,65.3,9.3,491
3,82.1,88,60,8.2,455
3,84.2,91,59.8,12.6,483
3,89.3,97.5,62.2,9.2,440
3,91.7,100.2,56.8,10,392
3,87.7,95.3,60.5,9.4,459
3,85.5,93,65.5,10.4,497
3,83.1,89.9,74.8,11,446
3,78.9,86.1,49.5,20.5,502
3,83.9,91.1,73.6,11.5,750
3,80.6,87,79.9,18.8,598
3,77,84.1,54.8,15,823
3,75,82.9,50.4,17.3,753
3,74.6,81.9,52,6.2,777
3,76.2,83.3,57.7,8.8,787
3,77.2,84.2,63.7,5.5,780
3,78.7,85.5,67.3,7,801
3,76.9,84.7,50.2,16.6,871
3,74.8,82.7,57,6,733
3,74.9,81.8,73.5,10.2,687
3,78,82.9,87.3,24,407
3,72.8,80.6,53.7,14.4,759
3,72.3,79.9,61.8,7.9,772
3,76.2,83.5,66.9,10.3,817
3,80,86.9,64.7,19,840
3,77,79,97.3,5.3,240
3,76.8,82.8,86.3,5.3,542
3,78.8,83.5,84.5,3.4,501
3,79.9,85,84.8,7.4,463
3,79,83.7,88.5,7.9,412
3,78.9,83.8,84.9,10,391
3,77.5,83.7,69.9,11.6,484
3,73.6,81,64.8,13.8,520
3,62.3,69.2,75.4,19.6,243
3,58.3,63.1,79.2,14.9,292
3,60.4,67.3,76.1,5.6,357
3,67.7,74.6,71,13.8,446
3,71.7,79.4,64.8,11.9,483
3,68.5,75.2,62.1,9,477
3,69.7,77.4,68.4,1.5,499
3,70.5,78.2,70.1,3,541
3,71.9,79.2,72.8,4.3,551
3,74.1,80.9,73.4,2.8,512
3,73.8,81.1,80.9,9.6,456
3,72.1,78.6,90.6,16.6,242
3,75.5,81.7,89.7,9.5,291
3,72.7,79.7,71.6,15,364
3,69.4,76.9,48.3,17.3,522
3,69.8,77.3,48.7,18.9,504
3,71.4,78,58,11.8,457
3,71.3,79,70.2,7.4,475
3,72,78.2,89.5,16.3,242
3,67.1,74,63.6,28.3,420
3,63.5,70.1,57.4,14.8,430
3,63.2,70.3,62.9,6.2,431
3,63.1,70,74.1,6.7,438
3,66.2,73.1,77.2,8,419
3,66.8,73.7,62.3,11.2,469
3,67.7,74.6,72,10,389
3,66.7,73.1,81.3,13.3,266
3,56.4,60.7,58.6,15.4,375
3,50.8,52.5,88.3,23.5,63
3,55.6,60.9,62.4,11.8,333
3,57.1,64,70.3,7.1,367
3,61.6,67.7,68.4,9.1,407
3,59.9,67.1,71.9,5.5,419
3,62.1,68.5,70.2,9.2,397
3,61.8,68.3,62.3,18.2,405
3,56.1,61.1,51.9,12.7,393
3,57.7,64.6,73.5,6.2,365
3,61.2,68.1,75.9,3.8,404
3,62.1,69.1,72.2,4.6,421
3,61.5,68.8,75.8,4.2,411
3,60,65.6,81.3,12.7,293
3,55.9,59.6,44.6,21.1,337
3,58.3,64.2,55.3,14.2,407
3,64.5,70.7,45.8,18.9,372
3,71.1,79.2,58.7,20.5,449
3,71.1,77.7,68.9,13.4,420
3,65.7,72.7,93,9.2,182
3,57.2,61.1,57.6,20.5,305
3,52.2,56.5,41,11.3,339
3,56.3,61.2,50.2,15,366
3,66.2,73.1,68.5,12.5,352
3,65,72.1,91,9.2,277
3,62.8,70,96.3,8,161
3,64.5,70.7,75.8,22.5,257
3,59.6,65.5,54.9,11.2,150
3,59.7,66.3,64.4,6.6,279
3,59.7,66.7,68.2,4.6,307
3,65.9,73,69.8,14,307
3,69.2,76.1,74.3,9.5,387
3,65.8,72.6,83.1,17.3,291
3,56,60,61.3,18.2,361
3,55.1,59.5,52.5,14.8,373
3,55.2,61.8,62.6,6.8,394
3,54.1,60,61.3,6.4,361
3,56.4,63.4,77.6,5.6,349
3,60.5,67.5,82.7,4.2,381
3,66.1,73.1,95,15.6,259
3,62.3,68,97,17.8,71
3,51.6,55.1,58,16.1,332
3,53.5,60.6,69.6,5.5,362
1,76.6,85.2,50.7,18,489
1,78.2,84.9,47.2,11.3,518
1,78.4,85.6,68.8,13.8,377
1,79.9,86,73.6,9.6,484
1,83.4,90,67,8,512
1,83.6,90.1,66.7,6.8,474
1,78.9,85.6,74.6,10.4,401
1,71.2,78.2,82.1,6,623
1,72.9,79.8,83.1,7.9,687
1,76.4,83.3,69.4,7.8,836
1,69.1,75.8,88.5,12.9,337
1,64.3,71.4,88.1,14.8,500
1,64.9,71.5,47.8,25.9,556
1,55.9,60.4,29,12.5,510
1,67.7,74.4,48.1,19.5,570
1,68.5,75.4,43.9,21.4,613
1,59.3,65.8,58.1,9.3,546
1,63.3,70,73.8,16.8,624
1,63.4,69.6,67.6,11.5,604
1,64,70.5,50.4,20.9,594
1,66.4,73.5,39.7,6.7,677
1,72,80,47,12.1,644
1,64.1,70.8,37.4,14.7,646
1,61.8,67.2,37.7,20.1,646
1,64.3,70.4,25.4,18.4,686
1,68.9,76.3,27.6,15.6,517
1,68.1,74.9,31.8,24,559
1,65,71.3,43.5,16.7,592
1,57.7,62.4,47,19.8,486
1,61.3,66.9,46.6,19.5,541
1,64.7,70.9,40.8,10.4,640
1,68.5,75.9,50.3,12.8,746
1,76.8,83.6,50.8,15.1,713
1,81,87.3,56.2,19.1,637
1,76.9,85.9,39,18.3,669
1,66.2,73.1,56.9,11.3,437
1,68.8,76.4,61.3,4.4,657
1,70.9,78.4,69.5,10,729
1,74.1,80.9,68.3,19,662
1,61.3,67.1,83.5,23.1,103
1,55.7,59.1,76.7,20.3,321
1,62.5,68.5,45.4,16.7,563
1,67.2,74.3,42.8,8,620
1,68.8,75.5,75.7,11.8,503
1,65.8,72.7,40.1,23.3,623
1,59.8,66,49,8.7,422
1,65.8,72.5,58.7,7.8,630
1,66.3,73.2,57,11.5,557
1,77.3,83.9,66,10.5,574
1,73.6,80.4,79.7,9.2,617
1,73.3,80.4,76.8,9,642
1,78.3,85.2,73.5,10.9,630
1,77.9,84.6,75.7,10.3,688
1,73.5,81.2,74,10,636
1,71.7,79.4,66.4,15.5,627
1,74.9,82.2,68.6,19.8,573
1,74.4,81.8,74.4,14.5,472
1,69.3,76.3,55.2,21,657
1,71.4,78.9,36,15.9,703
1,73.6,81,48,8.2,743
1,77.2,84.7,57.6,15.1,612
1,74.3,81.5,79,14.3,284
1,77.1,83.9,79.5,9.9,512
1,79,85.6,69.8,8.2,742
1,75.8,83.5,52,15.4,738
1,73.6,81.6,52.3,9.2,764
1,76.3,83,45.6,5.6,829
1,77.8,84.6,53,17,713
1,76.2,82.9,81.1,15.6,436
1,77.4,84.3,76.6,7.9,607
1,77.9,84.6,77.5,6.8,526
1,80.3,86.6,71.7,11.6,677
1,82.2,88.5,74.7,9.4,673
1,83.1,89.8,73.3,13.3,654
1,82.9,89.7,69.7,14.4,659
1,84.6,93.1,67.6,13.2,604
1,85.3,92.6,68.5,19.8,574
1,80.5,87,67,9,686
1,82.2,88.8,49.3,13.1,734
1,80.3,86.7,75.5,15.9,413
1,75,83,54.9,12.5,812
1,76.5,83.8,49.3,12.3,764
1,76.1,84,48.7,19.1,700
1,71.9,79.3,61.3,14,700
1,72.9,80.8,61.1,5.2,706
1,76.5,83.2,56.7,10.5,749
1,79.9,85.8,46.8,11.8,774
1,84.5,90.4,43.7,9.7,750
1,85.6,91.7,53.8,9,660
1,52.3,56,50.8,15.6,319
1,48.3,54.8,49,4.5,274
1,49.6,56.3,67.1,4.3,331
1,52.8,59.1,59,9.4,352
1,55.4,62.5,66.4,4.1,374
1,63.2,69.1,63.4,18,371
1,59.7,64.4,50,17.5,358
1,51.1,54.4,56.1,16.3,274
1,49.6,54.1,58.6,11.4,243
1,52.4,57.3,63.8,11.6,340
1,60.5,67.7,59.5,4.1,375
1,71.1,78.7,46.7,15,791
1,69.9,77.2,49.3,9.5,744
1,72.6,81,57,15.8,754
1,78.9,85.7,63.1,16.4,773
1,80,86.7,69.1,9,739
1,77.7,84.7,69,11,742
1,72,79.7,54.3,15.2,856
1,70.9,78.6,58.3,9,689
1,70.4,78.1,64.9,6.1,678
1,75.6,80.8,87.2,7,464
1,80.5,85.9,79.4,4.5,757
1,80.5,86.7,72.3,7.9,733
1,77.4,84.2,62.8,7.1,816
1,72.9,80.5,66.4,18,797
1,62.7,69.8,70.8,9.5,351
1,60.3,66.9,71,12.7,548
1,65,71.4,76.2,12.8,639
1,69.9,77.3,63.1,12.6,769
1,64.1,70.8,46.3,12.2,757
1,64.3,71,53.9,15.8,728
1,61,67.2,49.5,9.8,711
1,70.5,77.7,64,18.7,664
1,73.5,80.5,70.8,19.8,588
1,66.6,73.5,55.8,12.2,753
1,65.6,72.5,69.3,6.8,746
1,70.6,78.1,72.8,15.9,751
1,73.6,80.4,81.5,9,542
1,67.7,74.6,57.3,7.9,809
1,66.3,73.1,51,11.1,682
1,68,75.5,56.8,5.5,706
1,72.2,79.7,64.2,6.3,747
1,75.4,82.3,63.6,4.9,769
1,72.6,79.7,80,8.3,736
1,72.3,79,80.7,8.9,744
1,71.1,78.4,72,15.8,785
1,67.2,74.1,69.5,26.7,446
1,64.5,71.5,88,24,2
1,55.5,59.9,82.5,14.3,110
1,58.4,64.5,66.7,11.2,557
1,59,65.3,58.2,10.5,599
1,58.2,64,52.2,17.8,585
1,57.3,61.1,49.1,18.1,514
1,56,61.7,53.3,12,511
1,55.6,59.7,49.4,15.8,526
1,52.7,57.3,56.7,11.6,569
1,53.8,56.7,54.8,20.4,504
1,58,62.8,33.3,23.3,532
1,58.7,64,54.1,14.4,599
1,60.7,67.5,64.5,3.9,654
1,63.1,70,65.9,8.5,685
1,67.8,74.8,74.2,11.6,627
1,57.3,61.1,66.3,22.9,409
1,53.3,57.3,55.2,13.4,550
1,55.7,61.2,62,10.3,545
1,57.5,63.2,52.5,11.5,570
1,56,61.4,54.5,12,563
1,57.3,62.4,69.3,15.3,467
1,60.1,65.8,62.3,15.7,550
1,59.6,66.3,68.5,5.5,563
1,58.1,64.8,61.4,6.9,515
1,57.1,63.5,58,3.5,243
1,59.2,66.1,56.9,9.9,391
1,52.5,54.4,40.5,25.3,228
1,50.1,55.2,46.8,10.1,242
1,55.1,62.5,53.5,3.1,509
1,53.5,57.3,78.7,15.9,396
1,53.9,58.1,50.6,14.1,526
1,52.7,58.9,55.6,7.7,532
1,54,61.1,65,3.9,567
1,54,60.5,80.7,4,519
1,57.6,64.3,82.3,8.3,465
1,65.4,73,76.8,5.5,623
1,67.1,74.2,73.4,11.7,661
1,64.3,70.5,48.5,21.7,573
1,50.9,55.2,50.9,11.7,538
1,55.7,61,76.4,8.8,501
1,60.2,67.1,91.1,6.8,558
1,60.4,67.1,90.5,10.6,323
